motif	T.BL	T.L	T.BL.adj	T.L.adj
AMYB(HTH)/Testes-AMYB-ChIP-Seq(GSE44588)/Homer	0.00384748955017907	2.06067852927089e-12	0.00989527423611219	3.98982438646066e-12
AP-1(bZIP)/ThioMac-PU.1-ChIP-Seq(GSE21512)/Homer	0.0005645571577201	2.9352915376463e-07	0.00238875812737937	3.07024747041165e-07
AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)/Homer	0.0429875272158233	1.60475370758358e-12	0.06676452322417	3.19196912328101e-12
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	0.0797781025987756	1.34680482950397e-12	0.113434489632634	2.7697003273415e-12
Ap4(bHLH)/AML-Tfap4-ChIP-Seq(GSE45738)/Homer	0.0438404004393794	4.6424126026068e-12	0.0670500242014038	8.44919093674437e-12
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	0.000989682655028356	6.82188743908884e-15	0.0036618774740331	2.38766060368109e-14
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	0.0181650609306298	9.3504247987587e-18	0.033735113156884	7.83421809553944e-17
Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)/Homer	0.680954936082502	2.67640775342886e-10	0.731172851722804	3.5170123546863e-10
Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)/Homer	0.00113421571191888	1.08374163287275e-14	0.0040876685063215	3.52216030683643e-14
Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)/Homer	0.056114913906241	3.9760465969947e-10	0.0830318238287469	5.07817881160025e-10
Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)/Homer	0.13465206355737	5.47517071005389e-10	0.176943505902104	6.8486671424729e-10
Atf3(bZIP)/GBM-ATF3-ChIP-Seq(GSE33912)/Homer	0.0307512718109365	4.39186885821267e-07	0.0504210042305445	4.56754361254118e-07
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	0.0230836749945829	1.21202017501956e-14	0.0409875985269667	3.90420658147894e-14
Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)/Homer	0.153558396102047	1.26392289323784e-10	0.194080750628976	1.74930773056491e-10
Atoh1(bHLH)/Cerebellum-Atoh1-ChIP-Seq(GSE22111)/Homer	0.0350950498194233	1.47095956656088e-09	0.0562757627060356	1.77883482467827e-09
Bach1(bZIP)/K562-Bach1-ChIP-Seq(GSE31477)/Homer	7.83979188670616e-05	5.0448456502386e-08	0.0006794486301812	5.44903209699362e-08
Bach2(bZIP)/OCILy7-Bach2-ChIP-Seq(GSE44420)/Homer	0.00370616611184806	7.16893603879973e-09	0.00970535586124239	8.0292083634557e-09
Bapx1(Homeobox)/VertebralCol-Bapx1-ChIP-Seq(GSE36672)/Homer	0.0272824254536781	1.93556856957262e-09	0.0461897807680876	2.31758868198827e-09
Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)/Homer	0.00338410211566795	9.14866656126139e-18	0.00897468351937442	7.83421809553944e-17
BATF(bZIP)/Th17-BATF-ChIP-Seq(GSE39756)/Homer	0.00165290678253306	4.73241073613881e-09	0.00505595015833642	5.45125793656496e-09
Bcl6(Zf)/Liver-Bcl6-ChIP-Seq(GSE31578)/Homer	0.00049832421681806	1.48260485097443e-12	0.00221397755668182	2.99815647641495e-12
bHLHE40(bHLH)/HepG2-BHLHE40-ChIP-Seq(GSE31477)/Homer	0.0122188665364934	6.46276331706288e-16	0.0252708376095659	3.09532348343538e-15
